,home,distance,type,assisted,result
172,0,26,3-pt jump shot,0,0
173,0,2,2-pt layup,0,1
174,0,25,3-pt jump shot,0,0
175,0,16,2-pt jump shot,0,0
176,0,23,3-pt jump shot,0,0
177,0,27,3-pt jump shot,0,0
178,0,27,3-pt jump shot,0,0
179,1,2,2-pt layup,0,0
180,1,23,3-pt jump shot,1,1
181,1,1,2-pt dunk,1,1
182,1,23,3-pt jump shot,1,1
183,1,3,2-pt layup,0,1
184,1,22,3-pt jump shot,0,1
185,1,23,3-pt jump shot,1,1
186,1,23,3-pt jump shot,0,0
187,1,1,2-pt layup,0,0
188,1,9,2-pt jump shot,0,0
189,1,26,3-pt jump shot,0,0
190,1,27,3-pt jump shot,1,1
191,1,28,3-pt jump shot,0,0
192,1,2,2-pt layup,0,0
193,1,23,3-pt jump shot,0,0
194,1,23,3-pt jump shot,1,1
195,1,24,3-pt jump shot,0,0
196,1,25,3-pt jump shot,0,0
197,1,26,3-pt jump shot,0,0
198,1,2,2-pt layup,0,0
199,1,27,3-pt jump shot,0,0
200,1,2,2-pt layup,1,1
201,1,22,2-pt jump shot,0,0
202,1,28,3-pt jump shot,1,1
203,1,25,3-pt jump shot,0,0
204,1,25,3-pt jump shot,0,0
205,1,25,3-pt jump shot,0,1
206,1,25,3-pt jump shot,0,0
207,1,24,3-pt jump shot,1,1
208,1,24,3-pt jump shot,1,1
209,0,10,2-pt jump shot,0,1
210,0,28,3-pt jump shot,0,0
211,0,9,2-pt jump shot,0,0
212,0,0,2-pt layup,0,1
213,0,33,3-pt jump shot,0,0
214,0,25,3-pt jump shot,0,1
215,0,23,3-pt jump shot,0,0
216,0,23,3-pt jump shot,0,0
217,0,7,2-pt jump shot,0,0
218,0,3,2-pt layup,0,0
219,0,24,3-pt jump shot,0,0
220,0,2,2-pt dunk,1,1
221,0,25,3-pt jump shot,0,0
222,0,25,3-pt jump shot,0,0
223,0,17,2-pt jump shot,0,0
224,0,19,2-pt jump shot,0,0
225,0,2,2-pt layup,1,1
226,0,9,2-pt jump shot,0,0
227,0,29,3-pt jump shot,0,0
228,0,25,3-pt jump shot,0,0
229,0,20,2-pt jump shot,0,0
230,0,28,3-pt jump shot,1,1
231,0,25,3-pt jump shot,0,1
232,0,8,2-pt jump shot,0,0
233,0,2,2-pt layup,0,1
234,0,27,3-pt jump shot,0,0
235,0,14,2-pt jump shot,0,0
236,0,29,3-pt jump shot,1,1
237,0,28,3-pt jump shot,1,1
238,0,19,2-pt jump shot,1,1
239,0,25,3-pt jump shot,0,0
240,0,39,3-pt jump shot,0,0
241,0,25,3-pt jump shot,0,0
242,0,24,3-pt jump shot,0,0
243,0,23,3-pt jump shot,1,1
244,0,1,2-pt layup,0,0
245,0,28,3-pt jump shot,0,0
246,1,25,3-pt jump shot,0,0
247,1,17,2-pt jump shot,0,0
248,1,25,3-pt jump shot,1,1
249,1,60,3-pt jump shot,0,0
250,1,28,3-pt jump shot,0,0
251,1,8,2-pt jump shot,0,1
252,1,26,3-pt jump shot,0,0
253,1,4,2-pt layup,0,0
254,0,26,3-pt jump shot,1,1
255,0,25,3-pt jump shot,0,0
256,0,1,2-pt dunk,1,1
257,0,26,3-pt jump shot,0,0
258,0,22,3-pt jump shot,0,0
259,0,10,2-pt jump shot,0,1
260,0,23,3-pt jump shot,0,0
261,0,4,2-pt layup,1,1
262,0,24,3-pt jump shot,1,1
263,0,29,3-pt jump shot,0,1
264,0,26,3-pt jump shot,0,1
265,0,9,2-pt jump shot,0,0
266,0,19,2-pt jump shot,0,0
267,0,2,2-pt layup,1,1
268,0,2,2-pt layup,0,0
269,0,25,3-pt jump shot,0,0
270,0,2,2-pt layup,0,1
271,0,25,3-pt jump shot,1,1
272,0,19,2-pt jump shot,0,0
273,0,24,3-pt jump shot,0,0
274,0,25,3-pt jump shot,0,0
275,1,2,2-pt layup,1,1
276,1,16,2-pt jump shot,0,0
277,1,1,2-pt layup,0,1
278,1,27,3-pt jump shot,0,0
279,1,24,3-pt jump shot,1,1
280,1,2,2-pt layup,0,0
281,1,1,2-pt layup,1,1
282,1,23,3-pt jump shot,1,1
283,1,24,3-pt jump shot,0,0
284,1,26,3-pt jump shot,0,0
285,1,20,2-pt jump shot,0,0
286,1,25,3-pt jump shot,0,0
287,1,28,3-pt jump shot,1,1
288,1,3,2-pt layup,0,1
289,1,1,2-pt dunk,1,1
290,1,17,2-pt jump shot,0,0
291,1,26,3-pt jump shot,0,0
292,0,26,3-pt jump shot,0,1
293,0,13,2-pt jump shot,0,0
294,0,26,3-pt jump shot,1,1
295,0,28,3-pt jump shot,0,0
296,0,27,3-pt jump shot,1,1
297,0,26,3-pt jump shot,0,0
298,0,26,3-pt jump shot,1,1
299,0,15,2-pt jump shot,0,0
300,0,1,2-pt layup,0,1
301,0,27,3-pt jump shot,0,0
302,0,26,3-pt jump shot,0,0
303,1,26,3-pt jump shot,0,0
304,1,1,2-pt dunk,1,1
305,1,3,2-pt layup,1,1
306,1,26,3-pt jump shot,0,0
307,1,28,3-pt jump shot,1,1
308,1,26,3-pt jump shot,0,0
309,1,26,3-pt jump shot,1,1
310,1,16,2-pt jump shot,0,1
311,1,23,3-pt jump shot,0,0
312,1,28,3-pt jump shot,0,0
313,1,26,3-pt jump shot,0,0
314,1,25,3-pt jump shot,0,0
315,1,3,2-pt layup,0,0
316,1,25,3-pt jump shot,1,1
317,1,27,3-pt jump shot,0,0
318,1,27,3-pt jump shot,0,0
319,0,11,2-pt jump shot,0,0
320,0,25,3-pt jump shot,1,1
321,0,25,3-pt jump shot,0,0
322,0,1,2-pt layup,0,0
323,0,25,3-pt jump shot,1,1
